Nombre parada,Coordenada Y,Coordenada X,Nueva columna georreferenciada
Carrera 24 con Calle 48 esq Lado Norte Soledad,10.921452,-74.789715,POINT(-74.789715 10.921452)
Carrera 24 con Calle 53 esq Lado Norte Soledad,10.92151,-74.790858,POINT(-74.790858 10.92151)
Carrera 24 con Calle 54C Lado Norte Soledad,10.921133,-74.79225,POINT(-74.79225 10.921133)
Calle 56 con Carrera 22C Soledad,10.919863,-74.793343,POINT(-74.793343 10.919863)
Calle 56 con Carrera 20 Soledad,10.918265,-74.793335,POINT(-74.793335 10.918265)
Carrera 18 No. 56-46 Soledad,10.917155,-74.79393,POINT(-74.79393 10.917155)
Carrera 18 No. 59-18 Soledad,10.917143,-74.796177,POINT(-74.796177 10.917143)
Carrera 18 No. 62-10 Soledad,10.917132,-74.798233,POINT(-74.798233 10.917132)
Portal de Soledad,10.907941,-74.800165,POINT(-74.800165 10.907941)
Carrera 14 con Calle 62 Soledad,10.909228,-74.798492,POINT(-74.798492 10.909228)
Carrera 14 con Calle 59 Ent. Nuevo Milenio Soledad,10.908877,-74.795947,POINT(-74.795947 10.908877)
Calle 59 con Carrera 12D Soledad,10.906929,-74.795822,POINT(-74.795822 10.906929)
Calle 59 No. 12-29 Soledad,10.905013,-74.795685,POINT(-74.795685 10.905013)
Carrera 12 con Calle 56 Lado Sur Soledad,10.904918,-74.793891,POINT(-74.793891 10.904918)
Carrera 13 con Calle 54 Lado Sur Soledad,10.906035,-74.792297,POINT(-74.792297 10.906035)
Calle 54 Con Carrera 11B Lado Occidental Soledad,10.905077,-74.791623,POINT(-74.791623 10.905077)
Carrera 11 con Calle 52 Siete Bocas Soledad,10.905058,-74.789035,POINT(-74.789035 10.905058)
Carrera 11 con Calle 49 Polideportivo Soledad 2000,10.905652,-74.78593,POINT(-74.78593 10.905652)
Carrera 11 con Calle 46 Soledad,10.906155,-74.783343,POINT(-74.783343 10.906155)
Carrera 11 con Calle 44 Col.Club de Leones Soledad,10.906417,-74.781622,POINT(-74.781622 10.906417)
Calle 43 con Carrera 13 Soledad,10.908305,-74.780645,POINT(-74.780645 10.908305)
Calle 41 No. 14-68 Barrio La Fe Soledad,10.910237,-74.779402,POINT(-74.779402 10.910237)
Carrera 15B con Calle 43C Soledad,10.911695,-74.780897,POINT(-74.780897 10.911695)
Carrera 15B con Calle 44D Colegio Tajamar Soledad,10.912152,-74.782268,POINT(-74.782268 10.912152)
Calle 45B con Carrera 12G Soledad,10.910737,-74.782867,POINT(-74.782867 10.910737)
Calle 45B con Carrera 14 Soledad,10.908963,-74.782889,POINT(-74.782889 10.908963)
Carrera 14 con Calle 47 Drog. Santa Lucia Soledad,10.908438,-74.784507,POINT(-74.784507 10.908438)
Carrera 14 con Calle 47A Conj. Res. Doña Soledad,10.908482,-74.78601,POINT(-74.78601 10.908482)
Carrera 14 con Calle 50 Soledad,10.908898,-74.787952,POINT(-74.787952 10.908898)
Carrera 14 con Calle 52 Soledad,10.908058,-74.789332,POINT(-74.789332 10.908058)
Carrera 13 con Calle 54 Lado Norte Soledad,10.906126,-74.792329,POINT(-74.792329 10.906126)
Carrera 12 con Calle 57 Lado Norte Soledad,10.904914,-74.794149,POINT(-74.794149 10.904914)
Carrera 12 con Calle 59A Lado Norte Soledad,10.904777,-74.796171,POINT(-74.796171 10.904777)
Carrera 12 con Calle 62 Lado Norte Soledad,10.904135,-74.798383,POINT(-74.798383 10.904135)
Carrera 12 con Calle 63A Lado Norte Soledad,10.903957,-74.800747,POINT(-74.800747 10.903957)
Calle 65 con Carrera 11C Terranova 2da Etapa,10.904042,-74.801957,POINT(-74.801957 10.904042)
Terminal de Transportes,10.908944,-74.794045,POINT(-74.794045 10.908944)
Calle 54 con Carrera 14 El Percal Lado Occidental,10.906455,-74.791893,POINT(-74.791893 10.906455)
Calle 47 No. 5B-16 Lado Oriental Soledad,10.899358,-74.782847,POINT(-74.782847 10.899358)
Calle 47 No. 6A-22 Lado Oriental Soledad,10.900828,-74.783167,POINT(-74.783167 10.900828)
Carrera 6C No. 47C-08 Lado Norte Soledad,10.90098,-74.784192,POINT(-74.784192 10.90098)
Calle 49 No. 6E-22 Lado Nororiental Soledad,10.9017,-74.785527,POINT(-74.785527 10.9017)
Centro Comercial Nuestro Atlantico,10.905385,-74.801316,POINT(-74.801316 10.905385)
Calle 65 con Carrera 12 Ciudad Transmetro Lado Occ,10.904125,-74.802113,POINT(-74.802113 10.904125)
Calle 65 con Carrera 8 Los Loteros Lado Occidental,10.901335,-74.802702,POINT(-74.802702 10.901335)
Calle 65 Ciudad Camelot Lado Occidental,10.899415,-74.803115,POINT(-74.803115 10.899415)
Calle 65 La Candelaria Lado Occidental,10.895393,-74.803785,POINT(-74.803785 10.895393)
Calle 65 con Carrera 5 La Central Lado Occidental,10.891485,-74.80419,POINT(-74.80419 10.891485)
Calle 65 Gran Central de Abastos del Caribe,10.887832,-74.803852,POINT(-74.803852 10.887832)
Diagonal 56 Las Cometas Lado Sur,10.890973,-74.799828,POINT(-74.799828 10.890973)
Diagonal 56 Mega Colegio Lado Sur,10.892458,-74.797293,POINT(-74.797293 10.892458)
Diagonal 56 Villa Maria 1ra Etapa Lado Sur,10.89324,-74.795803,POINT(-74.795803 10.89324)
Diagonal 56 Villa Maria 2da Etapa Lado Sur,10.894047,-74.794525,POINT(-74.794525 10.894047)
Calle 57 con Carrera 3 Las Cuatro Villas,10.89342,-74.793272,POINT(-74.793272 10.89342)
Carrera 3 No. 56C-21 Movimiento Misionero Lado Sur,10.892867,-74.792117,POINT(-74.792117 10.892867)
Carrera 3 No. 54C-03 Tienda El Milagro Lado Sur,10.892803,-74.790272,POINT(-74.790272 10.892803)
Calle 54B con Transversal 2D10 Soledad,10.891348,-74.789497,POINT(-74.789497 10.891348)
Calle 54B con Carrera 2F Iglesia Lado Oriente,10.891917,-74.7896,POINT(-74.7896 10.891917)
Carrera 3 No. 55-16 Lado Norte Soledad,10.892782,-74.79065,POINT(-74.79065 10.892782)
Carrera 3 No. 56-142 Lado Norte Soledad,10.892948,-74.792595,POINT(-74.792595 10.892948)
Diagonal 56 Villa Karla Lado Sur,10.895408,-74.792565,POINT(-74.792565 10.895408)
Diagonal 56 Villa Karla Lado Norte,10.895937,-74.791992,POINT(-74.791992 10.895937)
Diagonal 56 Villa Maria 2da Etapa Lado Norte,10.894315,-74.794233,POINT(-74.794233 10.894315)
Diagonal 56 Villa Maria 1ra Etapa Lado Norte,10.893168,-74.79599,POINT(-74.79599 10.893168)
Diagonal 56 Mega Colegio Lado Norte,10.89253,-74.797202,POINT(-74.797202 10.89253)
Diagonal 56 Las Cometas Lado Norte,10.890955,-74.799928,POINT(-74.799928 10.890955)
Calle 65 con Diagonal 56 EDS La Inmaculada Soledad,10.889405,-74.803507,POINT(-74.803507 10.889405)
Calle 65 Villa Linda Av. Murillo Soledad,10.891925,-74.804013,POINT(-74.804013 10.891925)
Calle 65 La Candelaria Lado Oriental,10.893602,-74.804009,POINT(-74.804009 10.893602)
